CAEMP25N Total full-time and part-time employment by NAICS industry 1
CAEMP25N Total full-time and part-time employment by NAICS industry 1
County
GeoFips,GeoName,LineCode,Description,2005,2006,2007
01001,"Autauga, AL",500,"      Manufacturing",1767,1703,1687
01001,"Autauga, AL",2002,"      Military",296,304,299
01003,"Baldwin, AL",500,"      Manufacturing",5598,5597,5480
01003,"Baldwin, AL",2002,"      Military",956,986,974
01005,"Barbour, AL",500,"      Manufacturing",4354,4267,4040
01005,"Barbour, AL",2002,"      Military",158,157,150
01007,"Bibb, AL",500,"      Manufacturing",365,433,496
01007,"Bibb, AL",2002,"      Military",121,121,118
01009,"Blount, AL",500,"      Manufacturing",(D),(D),1707
01009,"Blount, AL",2002,"      Military",322,326,319
01011,"Bullock, AL",500,"      Manufacturing",(D),(D),(D)
01011,"Bullock, AL",2002,"      Military",56,55,53
01013,"Butler, AL",500,"      Manufacturing",1454,1495,1367
01013,"Butler, AL",2002,"      Military",122,122,118
01015,"Calhoun, AL",500,"      Manufacturing",7953,7494,7569
01015,"Calhoun, AL",2002,"      Military",703,710,671
01017,"Chambers, AL",500,"      Manufacturing",3994,3439,3060
01017,"Chambers, AL",2002,"      Military",207,204,197
01019,"Cherokee, AL",500,"      Manufacturing",1315,1180,1189
01019,"Cherokee, AL",2002,"      Military",147,149,144
01021,"Chilton, AL",500,"      Manufacturing",1675,1729,1750
01021,"Chilton, AL",2002,"      Military",247,248,243
01023,"Choctaw, AL",500,"      Manufacturing",1529,1471,1355
01023,"Choctaw, AL",2002,"      Military",86,85,81
01025,"Clarke, AL",500,"      Manufacturing",2297,2193,2224
01025,"Clarke, AL",2002,"      Military",157,157,149
01027,"Clay, AL",500,"      Manufacturing",2300,2555,2460
01027,"Clay, AL",2002,"      Military",82,82,79
01029,"Cleburne, AL",500,"      Manufacturing",869,762,531
01029,"Cleburne, AL",2002,"      Military",85,85,84
01031,"Coffee, AL",500,"      Manufacturing",3091,3327,3153
01031,"Coffee, AL",2002,"      Military",269,270,268
01033,"Colbert, AL",500,"      Manufacturing",3987,3808,3869
01033,"Colbert, AL",2002,"      Military",321,319,309
01035,"Conecuh, AL",500,"      Manufacturing",499,575,548
01035,"Conecuh, AL",2002,"      Military",80,80,77
01037,"Coosa, AL",500,"      Manufacturing",873,932,(D)
01037,"Coosa, AL",2002,"      Military",68,67,65
01039,"Covington, AL",500,"      Manufacturing",2612,2714,2636
01039,"Covington, AL",2002,"      Military",218,219,212
01041,"Crenshaw, AL",500,"      Manufacturing",732,1042,945
01041,"Crenshaw, AL",2002,"      Military",81,81,79
01043,"Cullman, AL",500,"      Manufacturing",5170,5360,5537
01043,"Cullman, AL",2002,"      Military",463,462,449
01045,"Dale, AL",500,"      Manufacturing",5468,5456,5475
01045,"Dale, AL",2002,"      Military",4257,4269,4425
01047,"Dallas, AL",500,"      Manufacturing",4379,4339,4081
01047,"Dallas, AL",2002,"      Military",261,259,249
01049,"DeKalb, AL",500,"      Manufacturing",9760,9692,9050
01049,"DeKalb, AL",2002,"      Military",399,401,393
01051,"Elmore, AL",500,"      Manufacturing",2915,3391,3400
01051,"Elmore, AL",2002,"      Military",401,412,409
01053,"Escambia, AL",500,"      Manufacturing",2789,2714,2574
01053,"Escambia, AL",2002,"      Military",208,207,200
01055,"Etowah, AL",500,"      Manufacturing",6379,6269,5860
01055,"Etowah, AL",2002,"      Military",606,604,584
01057,"Fayette, AL",500,"      Manufacturing",1506,1466,1391
01057,"Fayette, AL",2002,"      Military",105,103,98
01059,"Franklin, AL",500,"      Manufacturing",4692,4603,4495
01059,"Franklin, AL",2002,"      Military",183,183,176
01061,"Geneva, AL",500,"      Manufacturing",(D),(D),1337
01061,"Geneva, AL",2002,"      Military",153,154,149
01063,"Greene, AL",500,"      Manufacturing",413,349,339
01063,"Greene, AL",2002,"      Military",57,55,53
01065,"Hale, AL",500,"      Manufacturing",1047,943,925
01065,"Hale, AL",2002,"      Military",95,94,91
01067,"Henry, AL",500,"      Manufacturing",1406,1436,1059
01067,"Henry, AL",2002,"      Military",99,99,97
01069,"Houston, AL",500,"      Manufacturing",5593,5507,5441
01069,"Houston, AL",2002,"      Military",554,562,553
01071,"Jackson, AL",500,"      Manufacturing",6546,6404,6281
01071,"Jackson, AL",2002,"      Military",314,313,302
01073,"Jefferson, AL",500,"      Manufacturing",29926,30371,30631
01073,"Jefferson, AL",2002,"      Military",4135,4101,3925
