county,cbsa10,cntyname,cbsaname10,pop10,afact
County code,CBSA (2010),County name,2010 CBSA name,Population (2010),county to cbsa10 allocation factor
1001,33860,Autauga AL,"Montgomery, AL Metropolitan Statistical Area",54571,1
1003,19300,Baldwin AL,"Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",182265,1
1005,21640,Barbour AL,"Eufaula, AL-GA Micropolitan Statistical Area",27457,1
1007,13820,Bibb AL,"Birmingham-Hoover, AL Metropolitan Statistical Area",22915,1
1009,13820,Blount AL,"Birmingham-Hoover, AL Metropolitan Statistical Area",57322,1
1011,99999,Bullock AL,99999,10914,1
1013,99999,Butler AL,99999,20947,1
1015,11500,Calhoun AL,"Anniston-Oxford, AL Metropolitan Statistical Area",118572,1
1017,46740,Chambers AL,"Valley, AL Micropolitan Statistical Area",34215,1
1019,99999,Cherokee AL,99999,25989,1
1021,13820,Chilton AL,"Birmingham-Hoover, AL Metropolitan Statistical Area",43643,1
1023,99999,Choctaw AL,99999,13859,1
1025,99999,Clarke AL,99999,25833,1
1027,99999,Clay AL,99999,13932,1
1029,99999,Cleburne AL,99999,14972,1
1031,21460,Coffee AL,"Enterprise-Ozark, AL Micropolitan Statistical Area",49948,1
1033,22520,Colbert AL,"Florence-Muscle Shoals, AL Metropolitan Statistical Area",54428,1
1035,99999,Conecuh AL,99999,13228,1
1037,10760,Coosa AL,"Alexander City, AL Micropolitan Statistical Area",11539,1
1039,99999,Covington AL,99999,37765,1
1041,99999,Crenshaw AL,99999,13906,1
1043,18980,Cullman AL,"Cullman, AL Micropolitan Statistical Area",80406,1
1045,21460,Dale AL,"Enterprise-Ozark, AL Micropolitan Statistical Area",50251,1
1047,42820,Dallas AL,"Selma, AL Micropolitan Statistical Area",43820,1
1049,22840,DeKalb AL,"Fort Payne, AL Micropolitan Statistical Area",71109,1
1051,33860,Elmore AL,"Montgomery, AL Metropolitan Statistical Area",79303,1
1053,99999,Escambia AL,99999,38319,1
1055,23460,Etowah AL,"Gadsden, AL Metropolitan Statistical Area",104430,1
1057,99999,Fayette AL,99999,17241,1
1059,99999,Franklin AL,99999,31704,1
1061,20020,Geneva AL,"Dothan, AL Metropolitan Statistical Area",26790,1
1063,46220,Greene AL,"Tuscaloosa, AL Metropolitan Statistical Area",9045,1
1065,46220,Hale AL,"Tuscaloosa, AL Metropolitan Statistical Area",15760,1
1067,20020,Henry AL,"Dothan, AL Metropolitan Statistical Area",17302,1
1069,20020,Houston AL,"Dothan, AL Metropolitan Statistical Area",101547,1
1071,42460,Jackson AL,"Scottsboro, AL Micropolitan Statistical Area",53227,1
1073,13820,Jefferson AL,"Birmingham-Hoover, AL Metropolitan Statistical Area",658466,1
1075,99999,Lamar AL,99999,14564,1
1077,22520,Lauderdale AL,"Florence-Muscle Shoals, AL Metropolitan Statistical Area",92709,1
1079,19460,Lawrence AL,"Decatur, AL Metropolitan Statistical Area",34339,1
1081,12220,Lee AL,"Auburn-Opelika, AL Metropolitan Statistical Area",140247,1
1083,26620,Limestone AL,"Huntsville, AL Metropolitan Statistical Area",82782,1
1085,33860,Lowndes AL,"Montgomery, AL Metropolitan Statistical Area",11299,1
1087,46260,Macon AL,"Tuskegee, AL Micropolitan Statistical Area",21452,1
1089,26620,Madison AL,"Huntsville, AL Metropolitan Statistical Area",334811,1
1091,99999,Marengo AL,99999,21027,1
1093,99999,Marion AL,99999,30776,1
1095,10700,Marshall AL,"Albertville, AL Micropolitan Statistical Area",93019,1
1097,33660,Mobile AL,"Mobile, AL Metropolitan Statistical Area",412992,1
1099,99999,Monroe AL,99999,23068,1
1101,33860,Montgomery AL,"Montgomery, AL Metropolitan Statistical Area",229363,1
1103,19460,Morgan AL,"Decatur, AL Metropolitan Statistical Area",119490,1
1105,99999,Perry AL,99999,10591,1
1107,99999,Pickens AL,99999,19746,1
1109,45980,Pike AL,"Troy, AL Micropolitan Statistical Area",32899,1
1111,99999,Randolph AL,99999,22913,1
1113,17980,Russell AL,"Columbus, GA-AL Metropolitan Statistical Area",52947,1
1115,13820,St. Clair AL,"Birmingham-Hoover, AL Metropolitan Statistical Area",83593,1
1117,13820,Shelby AL,"Birmingham-Hoover, AL Metropolitan Statistical Area",195085,1
1119,99999,Sumter AL,99999,13763,1
1121,45180,Talladega AL,"Talladega-Sylacauga, AL Micropolitan Statistical Area",82291,1
1123,10760,Tallapoosa AL,"Alexander City, AL Micropolitan Statistical Area",41616,1
1125,46220,Tuscaloosa AL,"Tuscaloosa, AL Metropolitan Statistical Area",194656,1
1127,13820,Walker AL,"Birmingham-Hoover, AL Metropolitan Statistical Area",67023,1
1129,99999,Washington AL,99999,17581,1
1131,99999,Wilcox AL,99999,11670,1
1133,99999,Winston AL,99999,24484,1
2013,99999,Aleutians East Borough AK,99999,3141,1
2016,99999,Aleutians West Census Area AK,99999,5561,1
2020,11260,Anchorage Borough AK,"Anchorage, AK Metropolitan Statistical Area",291826,1
2050,99999,Bethel Census Area AK,99999,17013,1
2060,99999,Bristol Bay Borough AK,99999,997,1
2068,99999,Denali Borough AK,99999,1826,1
2070,99999,Dillingham Census Area AK,99999,4847,1
2090,21820,Fairbanks North Star Borough AK,"Fairbanks, AK Metropolitan Statistical Area",97581,1
2100,99999,Haines Borough AK,99999,2508,1
2105,99999,Hoonah-Angoon Census Area,99999,2150,1
2110,27940,Juneau Borough AK,"Juneau, AK Micropolitan Statistical Area",31275,1
2122,99999,Kenai Peninsula Borough AK,99999,55400,1
2130,28540,Ketchikan Gateway Borough AK,"Ketchikan, AK Micropolitan Statistical Area",13477,1
2150,28980,Kodiak Island Borough AK,"Kodiak, AK Micropolitan Statistical Area",13592,1
2158,99999,Kusilvak Census Area (N),99999,7459,1
2164,99999,Lake and Peninsula Borough AK,99999,1631,1
2170,11260,Matanuska-Susitna Borough AK,"Anchorage, AK Metropolitan Statistical Area",88995,1
2180,99999,Nome Census Area AK,99999,9492,1
2185,99999,North Slope Borough AK,99999,9430,1
2188,99999,Northwest Arctic Borough AK,99999,7523,1
2195,99999,Petersburg Census Area,99999,3815,1
2198,99999,Prince of Wales-Hyder Census Area,99999,5559,1
2220,99999,Sitka Borough AK,99999,8881,1
2230,99999,Skagway Municipality,99999,968,1
2240,99999,Southeast Fairbanks Census Area AK,99999,7029,1
2261,99999,Valdez-Cordova Census Area AK,99999,9636,1
2275,99999,Wrangell City and Borough,99999,2369,1
2282,99999,Yakutat Borough,99999,662,1
2290,99999,Yukon-Koyukuk Census Area AK,99999,5588,1
4001,99999,Apache AZ,99999,71518,1
4003,43420,Cochise AZ,"Sierra Vista-Douglas, AZ Micropolitan Statistical Area",131346,1
4005,22380,Coconino AZ,"Flagstaff, AZ Metropolitan Statistical Area",134421,1
4007,37740,Gila AZ,"Payson, AZ Micropolitan Statistical Area",53597,1
4009,40940,Graham AZ,"Safford, AZ Micropolitan Statistical Area",37220,1
4011,40940,Greenlee AZ,"Safford, AZ Micropolitan Statistical Area",8437,1
4012,99999,La Paz AZ,99999,20489,1
4013,38060,Maricopa AZ,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area",3817117,1
4015,29420,Mohave AZ,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",200186,1
4017,43320,Navajo AZ,"Show Low, AZ Micropolitan Statistical Area",107449,1
4019,46060,Pima AZ,"Tucson, AZ Metropolitan Statistical Area",980263,1
4021,38060,Pinal AZ,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area",375770,1
4023,35700,Santa Cruz AZ,"Nogales, AZ Micropolitan Statistical Area",47420,1
4025,39140,Yavapai AZ,"Prescott, AZ Metropolitan Statistical Area",211033,1
4027,49740,Yuma AZ,"Yuma, AZ Metropolitan Statistical Area",195751,1
5001,99999,Arkansas AR,99999,19019,1
5003,99999,Ashley AR,99999,21853,1
5005,34260,Baxter AR,"Mountain Home, AR Micropolitan Statistical Area",41513,1
5007,22220,Benton AR,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",221339,1
5009,25460,Boone AR,"Harrison, AR Micropolitan Statistical Area",36903,1
5011,99999,Bradley AR,99999,11508,1
5013,15780,Calhoun AR,"Camden, AR Micropolitan Statistical Area",5368,1
5015,99999,Carroll AR,99999,27446,1
5017,99999,Chicot AR,99999,11800,1
5019,11660,Clark AR,"Arkadelphia, AR Micropolitan Statistical Area",22995,1
5021,99999,Clay AR,99999,16083,1
5023,99999,Cleburne AR,99999,25970,1
5025,38220,Cleveland AR,"Pine Bluff, AR Metropolitan Statistical Area",8689,1
5027,31620,Columbia AR,"Magnolia, AR Micropolitan Statistical Area",24552,1
5029,99999,Conway AR,99999,21273,1
5031,27860,Craighead AR,"Jonesboro, AR Metropolitan Statistical Area",96443,1
5033,22900,Crawford AR,"Fort Smith, AR-OK Metropolitan Statistical Area",61948,1
5035,32820,Crittenden AR,"Memphis, TN-MS-AR Metropolitan Statistical Area",50902,1
5037,99999,Cross AR,99999,17870,1
5039,99999,Dallas AR,99999,8116,1
5041,99999,Desha AR,99999,13008,1
5043,99999,Drew AR,99999,18509,1
5045,30780,Faulkner AR,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",113237,1
5047,22900,Franklin AR,"Fort Smith, AR-OK Metropolitan Statistical Area",18125,1
5049,99999,Fulton AR,99999,12245,1
5051,26300,Garland AR,"Hot Springs, AR Metropolitan Statistical Area",96024,1
